STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
      15000;2025092506:27;    1;  124.0;    5.0;    5.0;   0;    86.02;2025092507:00;eor
      15000;2025092507:27;    1;  124.0;   17.0;   17.0;   0;    76.79;2025092508:00;eor
      15000;2025092508:27;    1;  125.0;   26.0;   26.0;   0;    68.21;2025092509:00;eor
      15000;2025092509:27;    1;  125.0;   22.0;   22.0;   0;    60.81;2025092510:00;eor
      15000;2025092510:27;    1;  125.0;   30.0;   30.0;   0;    55.26;2025092511:00;eor
      15000;2025092511:27;    1;  126.0;   25.0;   25.0;   0;    52.24;2025092512:00;eor
      15000;2025092512:27;    1;  126.0;   23.0;   23.0;   0;    52.25;2025092513:00;eor
      15000;2025092513:27;    1;  126.0;   21.0;   21.0;   0;    55.30;2025092514:00;eor
      15000;2025092514:27;    1;  126.0;   13.0;   13.0;   0;    60.89;2025092515:00;eor
      15000;2025092515:27;    1;  127.0;   14.0;   14.0;   0;    68.31;2025092516:00;eor
      15000;2025092516:27;    1;  126.0;    4.0;    4.0;   0;    76.90;2025092517:00;eor
      15000;2025092517:27;    1;  125.0;    1.0;    1.0;   0;    86.16;2025092518:00;eor
      15000;2025092518:27;    1;  125.0;    0.0;    0.0;   0;    95.63;2025092519:00;eor
      15000;2025092519:27;    1;  125.0;    0.0;    0.0;   0;   104.93;2025092520:00;eor
      15000;2025092520:27;    1;  125.0;    0.0;    0.0;   0;   113.63;2025092521:00;eor
      15000;2025092521:27;    1;  126.0;    0.0;    0.0;   0;   121.18;2025092522:00;eor
      15000;2025092522:27;    1;  125.0;    0.0;    0.0;   0;   126.90;2025092523:00;eor
      15000;2025092523:27;    1;  126.0;    0.0;    0.0;   0;   130.04;2025092600:00;eor
      15000;2025092600:27;    1;  126.0;    0.0;    0.0;   0;   130.05;2025092601:00;eor
      15000;2025092601:27;    1;  127.0;    0.0;    0.0;   0;   126.94;2025092602:00;eor
      15000;2025092602:27;    1;  127.0;    0.0;    0.0;   0;   121.25;2025092603:00;eor
